mu,normal,GMM_omega.1,GMM_omega.5,GMM_omega1,GMM_scale_eps2.01,GMM_scale_eps2.1,GMM_scale_eps2.5
0.0,0.0,71.21832,1.8436868,0.3365546,0.44978023,0.30668637,0.0873981
0.04,0.011885683,67.92388,1.8381827,0.3418363,0.45324415,0.30943474,0.09594088
0.08,0.046212416,60.113567,1.8424771,0.3606813,0.46587247,0.31809106,0.112851806
0.12,0.09928327,50.012352,1.8519498,0.39115068,0.48680004,0.33149382,0.13501914
0.16,0.16582136,39.80725,1.8604561,0.43033203,0.5148345,0.3481066,0.1589814
0.19999999,0.2400043,30.871237,1.8621057,0.47476375,0.54846996,0.3661667,0.18167879
0.24,0.3164593,23.704374,1.8529607,0.52094245,0.5859175,0.38383484,0.20099077
0.28,0.39099225,18.246862,1.8316319,0.56572866,0.62515414,0.39935756,0.21600768
0.32,0.46095085,14.203458,1.7991828,0.6066827,0.664006,0.41120574,0.22699861
0.35999998,0.52524436,11.240821,1.7584941,0.64221525,0.70025295,0.41820285,0.23520383
0.39999998,0.5841155,9.071407,1.7132671,0.671614,0.7317911,0.41963553,0.2425253
0.44,0.6387954,7.47386,1.6673003,0.6949241,0.7567761,0.41532162,0.25123882
0.48,0.69113636,6.2868214,1.6239372,0.71282244,0.77379316,0.40565783,0.26373535
0.52,0.74330056,5.395758,1.5857929,0.7263803,0.78202134,0.39164287,0.28237385
0.56,0.79752386,4.7200065,1.554684,0.7369135,0.781367,0.3748743,0.30937186
0.59999996,0.8559683,4.2029486,1.5317253,0.7458113,0.7725734,0.35752895,0.34678403
0.64,0.9206443,3.8044486,1.5174596,0.7544026,0.7572969,0.34233764,0.39650884
0.68,0.9933789,3.4959362,1.5120438,0.76390576,0.7381691,0.33254975,0.4603048
0.71999997,1.0758262,3.2568467,1.5153654,0.7753682,0.7188031,0.3319038,0.53984356
0.76,1.1694924,3.0721617,1.5271465,0.7896579,0.7037976,0.3445772,0.6367242
0.79999995,1.2757673,2.9308796,1.5470799,0.80747604,0.698716,0.37516376,0.7525434
0.84,1.3959625,2.8247833,1.5748054,0.8293675,0.7100475,0.42864588,0.88889086
0.88,1.5313444,2.7477336,1.6100194,0.855735,0.7451663,0.51036644,1.047395
0.91999996,1.6831609,2.69505,1.6524541,0.8868884,0.81227535,0.6259979,1.2297225
0.96,1.8526689,2.6631892,1.7018938,0.92305684,0.92038196,0.7815364,1.4376321
1.0,2.0411522,2.6494322,1.7581831,0.9643888,1.0792122,0.9832957,1.672925
1.04,2.249937,2.6516747,1.8212346,1.0110272,1.2991958,1.2378573,1.9375052
1.0799999,2.4804091,2.668295,1.8909984,1.0630665,1.5914208,1.552113,2.2333486
1.12,2.734012,2.6980577,1.9674907,1.1205876,1.9675758,1.933208,2.5625243
1.16,3.0122726,2.7400043,2.050759,1.1836826,2.4399452,2.3885808,2.9271903
1.1999999,3.3167932,2.793429,2.1408682,1.2524323,3.0213547,2.9259136,3.3295875
1.24,3.6492624,2.8577616,2.237966,1.3269321,3.7251506,3.5531614,3.772068
1.28,4.011457,2.9326108,2.3422,1.4072828,4.56523,4.2785463,4.2570677
1.3199999,4.405249,3.0177226,2.4537656,1.4936221,5.555952,5.1105547,4.7870903
1.36,4.8326116,3.112922,2.5728416,1.5860585,6.7121286,6.0578833,5.3647513
1.4,5.2956104,3.2181144,2.6996832,1.6847541,8.04907,7.1295667,5.992753
1.4399999,5.7964177,3.3332791,2.8345096,1.7898732,9.582505,8.33482,6.673892
1.48,6.3373184,3.4584436,2.9776175,1.9015859,11.328771,9.683218,7.411019
1.52,6.920697,3.5937083,3.1292803,2.0201035,13.304362,11.184424,8.20713
1.56,7.549058,3.7391825,3.2897909,2.1456017,15.526486,12.848537,9.065248
1.5999999,8.225023,3.8950539,3.459458,2.2783394,18.012548,14.685835,9.988536
1.64,8.951326,4.061538,3.6386063,2.4185262,20.780695,16.706863,10.980203
1.68,9.730832,4.2388115,3.8276105,2.5664036,23.849041,18.92233,12.043565
1.7199999,10.566525,4.427181,4.0267563,2.7222598,27.236685,21.343334,13.181964
1.76,11.461519,4.626911,4.2364745,2.8863306,30.962692,23.981325,14.398998
1.8,12.419072,4.838298,4.4571047,3.058908,35.046864,26.84778,15.698115
1.8399999,13.442564,5.061686,4.689048,3.2402894,39.509224,29.954473,17.082981
1.88,14.535532,5.2973704,4.932686,3.4307692,44.370342,33.31358,18.557333
1.92,15.701641,5.5457277,5.1884103,3.6306698,49.651104,36.937386,20.125097
1.9599999,16.94471,5.807172,5.456667,3.8402903,55.37313,40.838642,21.790052
2.0,18.268726,6.0820394,5.7378755,4.059974,61.55817,45.03027,23.556145
