n,N_samples,N_iter,EF_LA,EF_MEIS,EF_CEM
1,10000,1000,99.9297416967446,99.96433606915804,99.93794895406764
1,10000,1000,0.011847270679727087,0.0026939460756135224,99.84778111537278
1,10000,1000,99.74368028279062,99.85968550708243,99.77855163164111
1,10000,1000,0.004321260946726481,63.89968082857978,99.54460367915564
1,10000,1000,99.94559262610284,99.97538131285931,99.95731769946836
1,10000,1000,99.90032316831025,99.96153981082085,99.9067131042695
1,10000,1000,99.9687320950956,99.9862915447697,99.9188828404148
1,10000,1000,99.89923031277664,99.88279195880152,99.8830017969793
1,10000,1000,0.0025,0.003025976910972133,99.7107149555155
1,10000,1000,99.22830489958551,99.72506573415943,99.87239182233762
10,10000,1000,96.55820384237794,98.8291862019948,98.71967755090837
10,10000,1000,98.4851228111876,99.39036146064076,98.68385944354982
10,10000,1000,97.98138751937647,98.94038638706907,99.15438252818292
10,10000,1000,98.65633323635365,99.32639865815463,98.9180793483731
10,10000,1000,97.84235933729055,98.94861485777618,98.92816416865354
10,10000,1000,98.69998907667578,99.4132069388381,99.22569785125303
10,10000,1000,99.11278239247815,99.570088631333,99.37702005918725
10,10000,1000,97.91093671131034,99.22337501370104,98.51161856868949
10,10000,1000,98.45863158633945,99.44301165802781,98.75194073419273
10,10000,1000,99.1941305734116,99.62394995951533,99.40059490541074
20,10000,1000,92.980439575534,97.53758594502897,85.84687760159161
20,10000,1000,89.3321417194167,94.6783253205643,nan
20,10000,1000,97.07990457125224,97.515250092749,98.56757704272447
20,10000,1000,91.05285244495462,97.1157184436604,95.50565781007062
20,10000,1000,91.46812479976218,97.21594834223862,98.47215071657814
20,10000,1000,90.94065966116291,nan,98.46634903126174
20,10000,1000,93.60084230033281,96.76602516444194,93.68568667107998
20,10000,1000,92.90795771772183,nan,98.16049129648884
20,10000,1000,88.12089079522313,98.67452288191771,98.26553557012451
20,10000,1000,85.98379500860203,97.14102891024172,nan
50,10000,1000,2.7274116410768414,88.55558831737117,nan
50,10000,1000,0.06619928555514827,81.76907146154706,0.0036199256579480484
50,10000,1000,82.54421768039293,94.59680695056825,0.00472259678750319
50,10000,1000,0.5436854554033647,72.29471715254313,0.011292040521276905
50,10000,1000,0.18333012839875418,88.52727480868266,nan
50,10000,1000,7.297385684159123,nan,0.012245247152207175
50,10000,1000,23.648069898918184,84.36631149661714,nan
50,10000,1000,3.0413560110536144,70.66193778095591,nan
50,10000,1000,0.40332550735787986,nan,nan
50,10000,1000,85.69864112527466,91.60154461315511,0.02527022572030438
100,10000,1000,0.037552441161010995,nan,nan
100,10000,1000,0.01389971792261725,28.446124248886683,nan
100,10000,1000,0.00482763946735488,75.99189749146629,0.019065772650544675
100,10000,1000,76.42974227637734,87.42250944865152,nan
100,10000,1000,48.704520240095505,83.70360632866063,nan
100,10000,1000,nan,nan,nan
100,10000,1000,44.939825293154364,76.49218302641513,nan
100,10000,1000,nan,nan,nan
100,10000,1000,58.80711014508684,89.8547370846842,nan
100,10000,1000,0.006068775774048982,nan,nan
